"profession","salary_min","salary_max","salary_unit","salary_paytime","company_name","location","start_date","telephone","email","job_description","ref_no","external_link","application_link"
"IT-System-Elektroniker/in","NaN","NaN","","","C.D. Büttner Sicherheitstechnik GmbH","Pampower Str. 52, 19061 Schwerin, Mecklenburg","2026-09-01","['+49 385 3950015']","[]","Sie interessieren sich für Systeme der IT- Technik im Sicherheitsbereich?
Dann bewerben Sie sich bei uns für die 3-jährige Ausbildung als IT-Systemelektroniker (m/w/d).
Unser Unternehmen:
Die C. D. Büttner Sicherheitstechnik GmbH Schwerin ist ein Unternehmen, welches individuelle Lösungen für alle Sicherheitsanforderungen im Geschäfts- und im Privatleben bietet.
 
Die Ausbildung:
Die Schwerpunkte der Ausbildung liegen in der Planung, Montage und Inbetriebnahme von Einbruch- und Brandmeldetechnik, Videoüberwachungsanlagen, Zutrittskontroll- und Zeiterfassungssystemen bis hin zur Installation und Programmierung von Managementsystemen. Die durchzuführenden Tätigkeiten werden an neuen und bestehenden Anlagen durchgeführt.
Das bieten wir Ihnen:
abwechslungsreiche und verantwortungsvolle Aufgaben
Einblicke in diverse Bereiche der Sicherheitstechnik
Unterstützung durch ein erfahrenes und fachlich kompetentes Team
gute Chancen auf Übernahme
Fähigkeiten und Fertigkeiten:
Sie sollten über einen Schulabschluss der mittleren Reife oder Fachhochschulreife verfügen.
Technisches Verständnis, handwerkliches Geschick, freundliches Auftreten sowie Teamfähigkeit und Zuverlässigkeit sollten zu Ihren wesentlichen Eigenschaften zählen.
Die Bewerbung richten Sie bitte an die:
C.D. Büttner Sicherheitstechnik GmbH
z. H. Anja Komnick
Pampower Straße 52
19061 Schwerin
Wir freuen uns auf Sie!","10000-1203528995-S",NULL,NULL
"Zahnmedizinische/r Fachangestellte/r","NaN","NaN","","","Dr. Melanie und Dr. Joachim Höhle","Oststr. 13, 33129 Delbrück","2026-08-01","['+49 5250 995988']","[]","Wir bieten zum 01.08.2026 einen Ausbildungsplatz zum Zahnmedizinischen Fachangestellten (m/w/d) an.
Inhalt der Ausbildung:
Erlernen aller Behandlungsschritte von der Vorbereitung des Arbeitsplatzes
der Durchführung der Assistenz bei der kieferorthopädischen Behandlung bis zur Nachbereitung
das eigenständige Durchführen von Maßnahmen am Patienten bei herausnehmbaren und festsitzenden Zahnspangen
Erlernen von Verwaltungsarbeiten
kleinere Laborarbeiten und Anfertigung von Röntgenbildern
täglicher Umgang mit Kindern und Erwachsenen
Wir freuen uns auf deine Bewerbung.","10000-1203529015-S",NULL,NULL
"Metallbauer/in - Konstruktionstechnik","NaN","NaN","","","Fette Metallbau GmbH","Hauptstr. 15, 49377 Vechta","2026-08-01","[]","[]","Wir suchen einen neugierigen Erwachsenen, der Spaß an der Arbeit hat. Erlerne in unserem Team alle Facetten des Werkstoffs Aluminium und Metall.
Du hast technisches Verständnis und handwerkliches Geschick?
Du bist motiviert, leistungsbereit, zuverlässig, teamfähig und flexibel?
Dann bist Du genau richtig!
Wir bieten Dir eine fundierte Ausbildung in einem abwechslungsreichen Beruf, ein familiäres Betriebsklima, Übernahmechancen und vieles mehr.","10000-1203529019-S",NULL,NULL
"Erzieher/in","NaN","NaN","","","SDK Kallenbach & Partner","26349 Jade",NULL,"[]","[info@sdk-partner.de]","Im Rahmen unserer Jugendhilfeeinrichtungen
Jespers Hof und Juuls Hof (traumapädagogische Einrichtung) in Jaderberg
bieten wir attraktive Ausbildungsmöglichkeiten im Rahmen der Aubildung zum/zur staatliche anerkannten Erzieher:in.
Die Ausbildung befähigt Sie dazu, selbstständig und eigenverantwortlich Bildungs-, Erziehungs- und Betreuungsaufgaben in sozialpädagogischen Tätigkeitsfeldern zu gestalten.
Diese vertiefte berufliche Ausbildung richtet sich an bewerbende Personen mit einer einschlägigen beruflichen Erstausbildung  oder einer ausreichenden einschlägigen praktischen Berufstätigkeit.
Sie werden als Erstkraft für Tätigkeitsfelder der Kinder-, Jugend- und Erwachsenenarbeit ausgebildet. Hierzu gehören u.a. Tageseinrichtungen für Kinder, Kinder- und Jugendarbeit, Hilfen zur Erziehung, sozialpädagogische Tätigkeiten in der Schule sowie Tätigkeiten im Arbeitsbereich „Menschen mit besonderen Bedürfnissen“. In der Ausbildung zur Erzieherin und zum Erzieher professionalisieren Sie Ihre bereits erworbenen pädagogischen Kernkompetenzen wie Beobachtungs- und Analysefähigkeit, Fähigkeit zur pädagogischen Beziehungsgestaltung sowie zur Planung, Durchführung, Dokumentation und Evaluation pädagogischer Prozesse.
Mit dem Bestehen der Abschlussprüfung wird die Berechtigung erworben, die Berufsbezeichnung „staatlich anerkannte Erzieherin/ staatlich anerkannter Erzieher“ zu führen (Bachelor Professional in Sozialwesen). Zudem erwerben Sie die Fachhochschulreife.
Die tätigkeitsbegleitende Ausbildung zur Erzieherin und zum Erzieher dauert 3 Jahre.","10001-1001724368-S","https://www.sdk-partner.de/",NULL
"Bauzeichner/in","NaN","NaN","","","Reinhold Huth Architekturbüro","Dr.-Baur-Siedlung 6 a, 96224 Burgkunstadt","2025-09-01","['+49 9572 790083', '+49 9572 790085']","[m.huth@architekturbuero-huth.de]","Für interessante Projekte im Bereich Schulbau, Denkmalschutz und Wohnbau suchen wir eine engagierte Auszubildende/ einen Auszubildenden zum Bauzeichner für die LPH 2-5 in der Architektur.
Ihre Aufgaben:
• umfassen die Bearbeitung der Leistungsphasen 2-5 gemäß HOAI,
Ihr Profil:
• abgeschlossenes Schulausbildung zur mittleren Reife oder Abitur
• Erfahrung im technischem Zeichnen, CAD oder Skizzieren
• ein hoher gestalterischer Anspruch
• präzise und effektive Arbeitsweise und Teamfähigkeit
• gute Deutschkenntnisse
Wir bieten:
• eine fachgerechte Ausbildung zum Bauzeichner
• eine attraktive, leistungsgerechte Vergütung
• ein vielseitiges und interessantes Aufgabengebiet mit anspruchsvollen Projekten (Schulen, Kindergärten, Wohnungsbauten und Brandschutzplanung)
• die Möglichkeit zur selbstständigen und eigenverantwortlichen Projektbetreuung
• eine angenehme, inspirierende Arbeitsatmosphäre im Team
• die Möglichkeit zur beruflichen Weiterentwicklung durch die Teilnahme an Schulungen und Fortbildungsveranstaltungen
• feste Arbeitszeiten, Vollzeit
Wer wir sind:
Das Architekturbüro Huth plant seit 45 Jahren Projekte im Neubau, im Nachhaltigen Bauen und in der Sanierung. Wir sind im Schulbau und in der Denkmalpflege in der Region erfolgreich tätig.
Wir freuen uns über Ihre Bewerbung mit Angabe Ihrer Gehaltsvorstellung und Ihres möglichen Eintrittstermins.","10001-1001724501-S",NULL,NULL
"Zahnmedizinische/r Fachangestellte/r","900.00","900.00","€","Monat","Janine Behnke Zahnärztin","Georgenstr. 20, 80799 München","2025-09-01","['+49 1525 3908848']","[florian@zahnaerztin-behnke.de]","Azubi ZFA gesucht!
Zahnarztpraxis Janine Behnke
Wir suchen für unsere moderne Zahnarztpraxis mit einem kleinen, familiären Team mitten in Schwabing zum nächstmöglichen Termin eine Auszubildende zur ZFA.
Bei uns erwartet Sie:
-ein richtig nettes Team
-ein hochmoderner Arbeitsplatz
-eine unbefristete Anstellung
-Übernahme der Fahrtkosten (Deutschlandticket)
-flexible Urlaubsgestaltung
Voraussetzungen:
Mittlerer Schulabschluss oder qualifizierender Hauptschulabschluss
Auch Wechsler sind herzlich willkommen sich zu bewerben.
Bewerben Sie sich gerne sofort bei uns!
Ein kurzer Anruf bzw. eine E-Mailgenügt...
E-Mail: florian@zahnaerztin-behnke.de
Ich freue mich auf Ihre Kontaktaufnahme!
Janine Behnke","10001-1001724538-S",NULL,NULL
"Anlagenmechaniker/in - Sanitär-, Heizungs- und Klimatechnik","NaN","NaN","","","Schnepf Gebäudetechnik GmbH","Ulmer Str. 2, 86660 Tapfheim","2026-09-01","[]","[info@schnepf-technik.com]","Wir sind ein mittelständischer Familienbetrieb im Bereich Sanitär-, Heizungs- und Klimatechnik (SHK), sowie Elektro mit langjähriger Erfahrung und einem breiten Spektrum an Dienstleistungen.
Starte jetzt deine Zukunft im Handwerk bei uns – mit Technik, Teamwork und echten Perspektiven!
Deine Aufgaben - Du machst Zukunft möglich:
Du bist bei spannenden Einsätzen direkt beim Kunden und im Betrieb dabei
Du installierst moderne, altersgerechte Badezimmer – von stylisch bis barrierefrei
Du bringst innovative Heizsysteme wie Wärmepumpen, Solaranlagen & Co. zum Laufen
Du modernisierst alte Heizungsanlagen und sorgst für mehr Energieeffizienz
Du montierst Klima- und Lüftungsanlagen für frische Luft und gutes Raumklima
Dein Profil - Du hast Bock auf Handwerk:
Du hast einen guten Haupt- oder Realschulabschluss (oder bist auf dem Weg dahin)
Du bist handwerklich geschickt, motiviert und arbeitest gern im Team
Du bist zuverlässig und arbeitest sorgfältig
Du hast Interesse an Technik und Mathe ist für dich kein Fremdwort
Deine Ausbildung bei uns - Mehr als nur Theorie:
Ein sicherer Ausbildungsplatz in einer Branche mit Zukunft
Coole Firmenevents wie Weihnachtsfeier & mehr
Persönliche Arbeitskleidung und Schutzausrüstung – alles, was du brauchst
Ein abwechslungsreicher Alltag mit echten Herausforderungen und Erfolgserlebnissen
Wir freuen uns auf DEINE Bewerbung!","10001-1001724604-S","https://schnepf-technik.com/",NULL
"Techn. Produktdesigner/in - Maschinen- u. Anlagenkonstrukt.","1.05","1.05","€","Monat","Ingenieurbüro Gullert & Wilke AUTOMOTIVE GmbH","49504 Lotte","2026-09-01","['+49 5404 91480']","[info@igw.de, info@igw.de]","Die Unternehmensgruppe GULLERT & WILKE ist mit ihren Tochterfirmen und Niederlassungen (Lotte bei Osnabrück / Bremen / Hamburg) ein anerkanntes Unternehmen für anspruchsvolle Ingenieurdienstleistungen im Bereich Maschinenbau, Anlagenbau, Elektrotechnik, Verfahrenstechnik und Fahrzeugtechnik. Zurzeit sind in der IGW Unternehmensgruppe ca. 100 Mitarbeiter/innen tätig. Zum Leistungsspektrum gehört die Planung, Entwicklung, Konstruktion, Dokumentation, Qualitätsmanagement und Einkauf. Mit unseren Kollegen können wir auf eine 40- jährige Erfahrung zurückgreifen.
Wir bieten einen Ausbildungsplatz zum
Technischen Produktdesigner (m/w/d)
Als technischer Produktdesigner sind Sie unterstützend an der Entwicklung von Maschinen und Anlagen beteiligt. Mit Hilfe einer speziellen CAD-Software erstellen Sie eigenständig maßstabsgetreue Modelle, Skizzen und Ansichten. Die Auswahl von Werkstoffen, das Anfertigen von fertigungs- und montagegerechten Zeichnungen, sowie das Erstellen von Stücklisten gehören ebenfalls zu Ihrem Aufgabengebiet. Diese Tätigkeiten werden in der Konstruktion & Entwicklung unter Anweisung des Konstrukteurs oder Ingenieurs, allein oder in der Gruppe ausgeübt.
Ausbildungsort:
Ingenieurbüro Gullert & Wilke GmbH
Daimlerstr. 4
49504 Lotte
Mindestvoraussetzungen:
guter Schulabschluss
Gute Noten in Mathe, Deutsch, Englisch und Physik
Räumliches Vorstellungsvermögen
Interesse für technische Zusammenhänge
Technisches Verständnis
Selbstständiges & verantwortungsbewusstes Arbeiten
Teamfähigkeit
Ausbildungsdauer:
3,5 Jahre (Verkürzung um 0,5 Jahre am Ende der Ausbildung bei entsprechenden schulischen und praktischen Leistungen möglich)
Berufsschule:
Rheine
Osnabrück
Tätigkeiten:
Unterstützung der Konstruktion
CAD-Zeichnungen erstellen
Erstellung von Stücklisten
Teilevermessung
Modellplanung
Mögliche Einsatzgebiete während der Ausbildung:
Konstruktion & Entwicklung
Abschluss:
IHK Technischer Produktdesigner (m/w/d) – Fachrichtung Maschinen- und Anlagenkonstruktion","10001-1001725893-S","http://www.igw.de/","http://www.igw.de/"
"Hörakustiker/in","800.00","800.00","€","Monat","Koch Hörakustik","Bahnhofstraße 40, 67547 Worms",NULL,"['+49 6241 8499660']","[]","Dein neuer Beruf voller Abwechslung:
Als Hörakustiker/in bist du Technik-Profi, Handwerker/in und Menschenfreund/in zugleich. Du hilfst Menschen besser zu hören, passt moderne Hörgeräte an und lernst alles über Gehörschutz und Hörsysteme.
Das erwartet dich bei uns:
Hörtests durchführen und Ergebnisse erklären
Hörgeräte einstellen, programmieren und anpassen
Otoplastiken (Ohrpassstücke) kennenlernen
Kunden beraten und begleiten
Einblick in Medizin, Technik und Handwerk
Das solltest du mitbringen:
Spaß am Umgang mit Menschen
Handwerkliches Geschick & technisches Interesse
Einen guten Schulabschluss (mindestens Realschule)
Motivation, Lernbereitschaft und Teamgeist
Das bieten wir dir:
Eine spannende Ausbildung in einem modernen Fachgeschäft
Ein super Team, das dich unterstützt
Abwechslung zwischen Kundenkontakt, Technik und Handwerk
Sehr gute Übernahmechancen nach der Ausbildung
Bewerbung:
Schick uns deine Bewerbung (Lebenslauf, Zeugnisse, gern auch ein kurzes Anschreiben) an: siegler-koch@koch-ha.de","10001-1001726043-S",NULL,NULL
"Verkäufer/in","NaN","NaN","","","Lidl Dienstleistung GmbH & Co. KG",NULL,"2026-09-01","[]","[]",NULL,"12857-10218001-S","https://www.azubi.de/ausbildungsplatz/10218001-p-?utm_campaign=BAG&utm_medium=premiumcpc&utm_source=BAG",NULL
"Verkäufer/in","NaN","NaN","","","Lidl Dienstleistung GmbH & Co. KG",NULL,"2026-09-01","[]","[]",NULL,"12857-10218002-S","https://www.azubi.de/ausbildungsplatz/10218002-p-?utm_campaign=BAG&utm_medium=premiumcpc&utm_source=BAG",NULL
"Kaufmann/-frau - Einzelhandel","NaN","NaN","","","Lidl Dienstleistung GmbH & Co. KG",NULL,"2026-08-01","[]","[]",NULL,"12857-10218003-S","https://www.azubi.de/ausbildungsplatz/10218003-p-?utm_campaign=BAG&utm_medium=premiumcpc&utm_source=BAG",NULL
"Kaufmann/-frau - Einzelhandel","NaN","NaN","","","Lidl Dienstleistung GmbH & Co. KG",NULL,"2026-08-01","[]","[]",NULL,"12857-10218004-S","https://www.azubi.de/ausbildungsplatz/10218004-p-?utm_campaign=BAG&utm_medium=premiumcpc&utm_source=BAG",NULL
"Kaufmann/-frau - Einzelhandel","NaN","NaN","","","Lidl Dienstleistung GmbH & Co. KG",NULL,"2026-08-01","[]","[]",NULL,"12857-10218005-S","https://www.azubi.de/ausbildungsplatz/10218005-p-?utm_campaign=BAG&utm_medium=premiumcpc&utm_source=BAG",NULL
"Kaufmann/-frau - Einzelhandel","NaN","NaN","","","Lidl Dienstleistung GmbH & Co. KG",NULL,"2026-08-01","[]","[]",NULL,"12857-10218006-S","https://www.azubi.de/ausbildungsplatz/10218006-p-?utm_campaign=BAG&utm_medium=premiumcpc&utm_source=BAG",NULL
"Kaufmann/-frau - Einzelhandel","NaN","NaN","","","Lidl Dienstleistung GmbH & Co. KG",NULL,"2026-08-01","[]","[]",NULL,"12857-10218007-S","https://www.azubi.de/ausbildungsplatz/10218007-p-?utm_campaign=BAG&utm_medium=premiumcpc&utm_source=BAG",NULL
"Verkäufer/in","NaN","NaN","","","Lidl Dienstleistung GmbH & Co. KG",NULL,"2026-09-01","[]","[]",NULL,"12857-10218008-S","https://www.azubi.de/ausbildungsplatz/10218008-p-?utm_campaign=BAG&utm_medium=premiumcpc&utm_source=BAG",NULL
"Verkäufer/in","NaN","NaN","","","Lidl Dienstleistung GmbH & Co. KG",NULL,"2026-09-01","[]","[]",NULL,"12857-10218009-S","https://www.azubi.de/ausbildungsplatz/10218009-p-?utm_campaign=BAG&utm_medium=premiumcpc&utm_source=BAG",NULL
"Verkäufer/in","NaN","NaN","","","Lidl Dienstleistung GmbH & Co. KG",NULL,"2026-09-01","[]","[]",NULL,"12857-10218010-S","https://www.azubi.de/ausbildungsplatz/10218010-p-?utm_campaign=BAG&utm_medium=premiumcpc&utm_source=BAG",NULL
"Verkäufer/in","NaN","NaN","","","Lidl Dienstleistung GmbH & Co. KG",NULL,"2026-09-01","[]","[]",NULL,"12857-10218011-S","https://www.azubi.de/ausbildungsplatz/10218011-p-?utm_campaign=BAG&utm_medium=premiumcpc&utm_source=BAG",NULL
"Kaufmann/-frau - Einzelhandel","NaN","NaN","","","Lidl Dienstleistung GmbH & Co. KG",NULL,"2026-09-01","[]","[]",NULL,"12857-10218012-S","https://www.azubi.de/ausbildungsplatz/10218012-p-?utm_campaign=BAG&utm_medium=premiumcpc&utm_source=BAG",NULL
"Kaufmann/-frau - Einzelhandel","NaN","NaN","","","Lidl Dienstleistung GmbH & Co. KG",NULL,"2026-09-01","[]","[]",NULL,"12857-10218013-S","https://www.azubi.de/ausbildungsplatz/10218013-p-?utm_campaign=BAG&utm_medium=premiumcpc&utm_source=BAG",NULL
"Kaufmann/-frau - Einzelhandel","NaN","NaN","","","Lidl Dienstleistung GmbH & Co. KG",NULL,"2026-09-01","[]","[]",NULL,"12857-10218014-S","https://www.azubi.de/ausbildungsplatz/10218014-p-?utm_campaign=BAG&utm_medium=premiumcpc&utm_source=BAG",NULL
"Kaufmann/-frau - Einzelhandel","NaN","NaN","","","Lidl Dienstleistung GmbH & Co. KG",NULL,"2026-08-01","[]","[]",NULL,"12857-10218017-S","https://www.azubi.de/ausbildungsplatz/10218017-p-?utm_campaign=BAG&utm_medium=premiumcpc&utm_source=BAG",NULL
"Verkäufer/in","NaN","NaN","","","Lidl Dienstleistung GmbH & Co. KG",NULL,"2026-08-01","[]","[]",NULL,"12857-10218018-S","https://www.azubi.de/ausbildungsplatz/10218018-p-?utm_campaign=BAG&utm_medium=premiumcpc&utm_source=BAG",NULL
"Kaufmann/-frau - Einzelhandel","NaN","NaN","","","Lidl Dienstleistung GmbH & Co. KG",NULL,"2026-08-01","[]","[]",NULL,"12857-10218019-S","https://www.azubi.de/ausbildungsplatz/10218019-p-?utm_campaign=BAG&utm_medium=premiumcpc&utm_source=BAG",NULL
"Kaufmann/-frau - Einzelhandel","NaN","NaN","","","Lidl Dienstleistung GmbH & Co. KG",NULL,"2026-08-01","[]","[]",NULL,"12857-10218020-S","https://www.azubi.de/ausbildungsplatz/10218020-p-?utm_campaign=BAG&utm_medium=premiumcpc&utm_source=BAG",NULL
"Verkäufer/in","NaN","NaN","","","Lidl Dienstleistung GmbH & Co. KG",NULL,"2026-08-01","[]","[]",NULL,"12857-10218021-S","https://www.azubi.de/ausbildungsplatz/10218021-p-?utm_campaign=BAG&utm_medium=premiumcpc&utm_source=BAG",NULL
"Verkäufer/in","NaN","NaN","","","Lidl Dienstleistung GmbH & Co. KG",NULL,"2026-08-01","[]","[]",NULL,"12857-10218022-S","https://www.azubi.de/ausbildungsplatz/10218022-p-?utm_campaign=BAG&utm_medium=premiumcpc&utm_source=BAG",NULL
"Kaufmann/-frau - Einzelhandel","NaN","NaN","","","Lidl Dienstleistung GmbH & Co. KG",NULL,"2026-08-01","[]","[]",NULL,"12857-10218023-S","https://www.azubi.de/ausbildungsplatz/10218023-p-?utm_campaign=BAG&utm_medium=premiumcpc&utm_source=BAG",NULL
"Verkäufer/in","NaN","NaN","","","Lidl Dienstleistung GmbH & Co. KG",NULL,"2026-09-01","[]","[]",NULL,"12857-10218024-S","https://www.azubi.de/ausbildungsplatz/10218024-p-?utm_campaign=BAG&utm_medium=premiumcpc&utm_source=BAG",NULL
"Verkäufer/in","NaN","NaN","","","Lidl Dienstleistung GmbH & Co. KG",NULL,"2026-08-01","[]","[]",NULL,"12857-10218025-S","https://www.azubi.de/ausbildungsplatz/10218025-p-?utm_campaign=BAG&utm_medium=premiumcpc&utm_source=BAG",NULL
"Kaufmann/-frau - Einzelhandel","NaN","NaN","","","Lidl Dienstleistung GmbH & Co. KG",NULL,"2026-08-01","[]","[]",NULL,"12857-10218026-S","https://www.azubi.de/ausbildungsplatz/10218026-p-?utm_campaign=BAG&utm_medium=premiumcpc&utm_source=BAG",NULL
"Kaufmann/-frau - Einzelhandel","NaN","NaN","","","Lidl Dienstleistung GmbH & Co. KG",NULL,"2026-09-01","[]","[]",NULL,"12857-10218027-S","https://www.azubi.de/ausbildungsplatz/10218027-p-?utm_campaign=BAG&utm_medium=premiumcpc&utm_source=BAG",NULL
"Verkäufer/in","NaN","NaN","","","Lidl Dienstleistung GmbH & Co. KG",NULL,"2026-08-01","[]","[]",NULL,"12857-10218028-S","https://www.azubi.de/ausbildungsplatz/10218028-p-?utm_campaign=BAG&utm_medium=premiumcpc&utm_source=BAG",NULL
"Kaufmann/-frau - Einzelhandel","NaN","NaN","","","Lidl Dienstleistung GmbH & Co. KG",NULL,"2026-08-01","[]","[]",NULL,"12857-10218029-S","https://www.azubi.de/ausbildungsplatz/10218029-p-?utm_campaign=BAG&utm_medium=premiumcpc&utm_source=BAG",NULL
"Kaufmann/-frau - Einzelhandel","NaN","NaN","","","Lidl Dienstleistung GmbH & Co. KG",NULL,"2026-08-01","[]","[]",NULL,"12857-10218030-S","https://www.azubi.de/ausbildungsplatz/10218030-p-?utm_campaign=BAG&utm_medium=premiumcpc&utm_source=BAG",NULL
"Verkäufer/in","NaN","NaN","","","Lidl Dienstleistung GmbH & Co. KG",NULL,"2026-09-01","[]","[]",NULL,"12857-10218031-S","https://www.azubi.de/ausbildungsplatz/10218031-p-?utm_campaign=BAG&utm_medium=premiumcpc&utm_source=BAG",NULL
"Verkäufer/in","NaN","NaN","","","Lidl Dienstleistung GmbH & Co. KG",NULL,"2026-09-01","[]","[]",NULL,"12857-10218032-S","https://www.azubi.de/ausbildungsplatz/10218032-p-?utm_campaign=BAG&utm_medium=premiumcpc&utm_source=BAG",NULL
"Verkäufer/in","NaN","NaN","","","Lidl Dienstleistung GmbH & Co. KG",NULL,"2026-09-01","[]","[]",NULL,"12857-10218033-S","https://www.azubi.de/ausbildungsplatz/10218033-p-?utm_campaign=BAG&utm_medium=premiumcpc&utm_source=BAG",NULL
"Verkäufer/in","NaN","NaN","","","Lidl Dienstleistung GmbH & Co. KG",NULL,"2026-09-01","[]","[]",NULL,"12857-10218034-S","https://www.azubi.de/ausbildungsplatz/10218034-p-?utm_campaign=BAG&utm_medium=premiumcpc&utm_source=BAG",NULL
"Kaufmann/-frau - Einzelhandel","NaN","NaN","","","Lidl Dienstleistung GmbH & Co. KG",NULL,"2026-09-01","[]","[]",NULL,"12857-10218035-S","https://www.azubi.de/ausbildungsplatz/10218035-p-?utm_campaign=BAG&utm_medium=premiumcpc&utm_source=BAG",NULL
"Kaufmann/-frau - Einzelhandel","NaN","NaN","","","Lidl Dienstleistung GmbH & Co. KG",NULL,"2026-09-01","[]","[]",NULL,"12857-10218036-S","https://www.azubi.de/ausbildungsplatz/10218036-p-?utm_campaign=BAG&utm_medium=premiumcpc&utm_source=BAG",NULL
"Kaufmann/-frau - Einzelhandel","NaN","NaN","","","Lidl Dienstleistung GmbH & Co. KG",NULL,"2026-09-01","[]","[]",NULL,"12857-10218037-S","https://www.azubi.de/ausbildungsplatz/10218037-p-?utm_campaign=BAG&utm_medium=premiumcpc&utm_source=BAG",NULL
"Kaufmann/-frau - Einzelhandel","NaN","NaN","","","Lidl Dienstleistung GmbH & Co. KG",NULL,"2026-09-01","[]","[]",NULL,"12857-10218038-S","https://www.azubi.de/ausbildungsplatz/10218038-p-?utm_campaign=BAG&utm_medium=premiumcpc&utm_source=BAG",NULL
"Verkäufer/in","NaN","NaN","","","Lidl Dienstleistung GmbH & Co. KG",NULL,"2026-09-01","[]","[]",NULL,"12857-10218039-S","https://www.azubi.de/ausbildungsplatz/10218039-p-?utm_campaign=BAG&utm_medium=premiumcpc&utm_source=BAG",NULL
"Verkäufer/in","NaN","NaN","","","Lidl Dienstleistung GmbH & Co. KG",NULL,"2026-09-01","[]","[]",NULL,"12857-10218040-S","https://www.azubi.de/ausbildungsplatz/10218040-p-?utm_campaign=BAG&utm_medium=premiumcpc&utm_source=BAG",NULL
"Verkäufer/in","NaN","NaN","","","Lidl Dienstleistung GmbH & Co. KG",NULL,"2026-09-01","[]","[]",NULL,"12857-10218041-S","https://www.azubi.de/ausbildungsplatz/10218041-p-?utm_campaign=BAG&utm_medium=premiumcpc&utm_source=BAG",NULL
"Kaufmann/-frau - Einzelhandel","NaN","NaN","","","Lidl Dienstleistung GmbH & Co. KG",NULL,"2026-09-01","[]","[]",NULL,"12857-10218042-S","https://www.azubi.de/ausbildungsplatz/10218042-p-?utm_campaign=BAG&utm_medium=premiumcpc&utm_source=BAG",NULL
"Kaufmann/-frau - Einzelhandel","NaN","NaN","","","Lidl Dienstleistung GmbH & Co. KG",NULL,"2026-08-01","[]","[]",NULL,"12857-10218043-S","https://www.azubi.de/ausbildungsplatz/10218043-p-?utm_campaign=BAG&utm_medium=premiumcpc&utm_source=BAG",NULL
"Kaufmann/-frau - Einzelhandel","NaN","NaN","","","Lidl Dienstleistung GmbH & Co. KG",NULL,"2026-08-01","[]","[]",NULL,"12857-10218044-S","https://www.azubi.de/ausbildungsplatz/10218044-p-?utm_campaign=BAG&utm_medium=premiumcpc&utm_source=BAG",NULL
"Kaufmann/-frau - Einzelhandel","NaN","NaN","","","Lidl Dienstleistung GmbH & Co. KG",NULL,"2026-09-01","[]","[]",NULL,"12857-10218045-S","https://www.azubi.de/ausbildungsplatz/10218045-p-?utm_campaign=BAG&utm_medium=premiumcpc&utm_source=BAG",NULL
"Kaufmann/-frau - Einzelhandel","NaN","NaN","","","Lidl Dienstleistung GmbH & Co. KG",NULL,"2026-09-01","[]","[]",NULL,"12857-10218046-S","https://www.azubi.de/ausbildungsplatz/10218046-p-?utm_campaign=BAG&utm_medium=premiumcpc&utm_source=BAG",NULL
"Verkäufer/in","NaN","NaN","","","Lidl Dienstleistung GmbH & Co. KG",NULL,"2026-08-01","[]","[]",NULL,"12857-10218047-S","https://www.azubi.de/ausbildungsplatz/10218047-p-?utm_campaign=BAG&utm_medium=premiumcpc&utm_source=BAG",NULL
"Verkäufer/in","NaN","NaN","","","Lidl Dienstleistung GmbH & Co. KG",NULL,"2026-08-01","[]","[]",NULL,"12857-10218048-S","https://www.azubi.de/ausbildungsplatz/10218048-p-?utm_campaign=BAG&utm_medium=premiumcpc&utm_source=BAG",NULL
"Verkäufer/in","NaN","NaN","","","Lidl Dienstleistung GmbH & Co. KG",NULL,"2026-08-01","[]","[]",NULL,"12857-10218049-S","https://www.azubi.de/ausbildungsplatz/10218049-p-?utm_campaign=BAG&utm_medium=premiumcpc&utm_source=BAG",NULL
"Kaufmann/-frau - Einzelhandel","NaN","NaN","","","Lidl Dienstleistung GmbH & Co. KG",NULL,"2026-08-01","[]","[]",NULL,"12857-10218050-S","https://www.azubi.de/ausbildungsplatz/10218050-p-?utm_campaign=BAG&utm_medium=premiumcpc&utm_source=BAG",NULL
"Verkäufer/in","NaN","NaN","","","Lidl Dienstleistung GmbH & Co. KG",NULL,"2026-08-01","[]","[]",NULL,"12857-10218051-S","https://www.azubi.de/ausbildungsplatz/10218051-p-?utm_campaign=BAG&utm_medium=premiumcpc&utm_source=BAG",NULL
"Kaufmann/-frau - Einzelhandel","NaN","NaN","","","Lidl Dienstleistung GmbH & Co. KG",NULL,"2026-08-01","[]","[]",NULL,"12857-10218052-S","https://www.azubi.de/ausbildungsplatz/10218052-p-?utm_campaign=BAG&utm_medium=premiumcpc&utm_source=BAG",NULL
"Verkäufer/in","NaN","NaN","","","Lidl Dienstleistung GmbH & Co. KG",NULL,"2026-09-01","[]","[]",NULL,"12857-10218053-S","https://www.azubi.de/ausbildungsplatz/10218053-p-?utm_campaign=BAG&utm_medium=premiumcpc&utm_source=BAG",NULL
"Kaufmann/-frau - Einzelhandel","NaN","NaN","","","Lidl Dienstleistung GmbH & Co. KG",NULL,"2026-08-01","[]","[]",NULL,"12857-10218054-S","https://www.azubi.de/ausbildungsplatz/10218054-p-?utm_campaign=BAG&utm_medium=premiumcpc&utm_source=BAG",NULL
