Profession|Salary|Company Name|Location|Start Date|Telephone|Email|Job Description|Ref.-Nr.|External Link|Application Link
Verkäufer/in||"Arbeitgeber:
Lidl Dienstleistung GmbH & Co. KG"||Beginn ab 01.09.2026|[]|[]||12857-10218040-S|https://www.azubi.de/ausbildungsplatz/10218040-p-?utm_campaign=BAG&utm_medium=premiumcpc&utm_source=BAG|
Verkäufer/in||"Arbeitgeber:
Lidl Dienstleistung GmbH & Co. KG"||Beginn ab 01.09.2026|[]|[]||12857-10218039-S|https://www.azubi.de/ausbildungsplatz/10218039-p-?utm_campaign=BAG&utm_medium=premiumcpc&utm_source=BAG|
Kaufmann/-frau - Einzelhandel||"Arbeitgeber:
Lidl Dienstleistung GmbH & Co. KG"||Beginn ab 01.09.2026|[]|[]||12857-10218038-S|https://www.azubi.de/ausbildungsplatz/10218038-p-?utm_campaign=BAG&utm_medium=premiumcpc&utm_source=BAG|
Kaufmann/-frau - Einzelhandel||"Arbeitgeber:
Lidl Dienstleistung GmbH & Co. KG"||Beginn ab 01.09.2026|[]|[]||12857-10218037-S|https://www.azubi.de/ausbildungsplatz/10218037-p-?utm_campaign=BAG&utm_medium=premiumcpc&utm_source=BAG|
Kaufmann/-frau - Einzelhandel||"Arbeitgeber:
Lidl Dienstleistung GmbH & Co. KG"||Beginn ab 01.09.2026|[]|[]||12857-10218036-S|https://www.azubi.de/ausbildungsplatz/10218036-p-?utm_campaign=BAG&utm_medium=premiumcpc&utm_source=BAG|
Kaufmann/-frau - Einzelhandel||"Arbeitgeber:
Lidl Dienstleistung GmbH & Co. KG"||Beginn ab 01.09.2026|[]|[]||12857-10218035-S|https://www.azubi.de/ausbildungsplatz/10218035-p-?utm_campaign=BAG&utm_medium=premiumcpc&utm_source=BAG|
Verkäufer/in||"Arbeitgeber:
Lidl Dienstleistung GmbH & Co. KG"||Beginn ab 01.09.2026|[]|[]||12857-10218034-S|https://www.azubi.de/ausbildungsplatz/10218034-p-?utm_campaign=BAG&utm_medium=premiumcpc&utm_source=BAG|
Verkäufer/in||"Arbeitgeber:
Lidl Dienstleistung GmbH & Co. KG"||Beginn ab 01.09.2026|[]|[]||12857-10218033-S|https://www.azubi.de/ausbildungsplatz/10218033-p-?utm_campaign=BAG&utm_medium=premiumcpc&utm_source=BAG|
Verkäufer/in||"Arbeitgeber:
Lidl Dienstleistung GmbH & Co. KG"||Beginn ab 01.09.2026|[]|[]||12857-10218032-S|https://www.azubi.de/ausbildungsplatz/10218032-p-?utm_campaign=BAG&utm_medium=premiumcpc&utm_source=BAG|
Verkäufer/in||"Arbeitgeber:
Lidl Dienstleistung GmbH & Co. KG"||Beginn ab 01.09.2026|[]|[]||12857-10218031-S|https://www.azubi.de/ausbildungsplatz/10218031-p-?utm_campaign=BAG&utm_medium=premiumcpc&utm_source=BAG|
Kaufmann/-frau - Einzelhandel||"Arbeitgeber:
Lidl Dienstleistung GmbH & Co. KG"||Beginn ab 01.08.2026|[]|[]||12857-10218030-S|https://www.azubi.de/ausbildungsplatz/10218030-p-?utm_campaign=BAG&utm_medium=premiumcpc&utm_source=BAG|
Kaufmann/-frau - Einzelhandel||"Arbeitgeber:
Lidl Dienstleistung GmbH & Co. KG"||Beginn ab 01.08.2026|[]|[]||12857-10218029-S|https://www.azubi.de/ausbildungsplatz/10218029-p-?utm_campaign=BAG&utm_medium=premiumcpc&utm_source=BAG|
Verkäufer/in||"Arbeitgeber:
Lidl Dienstleistung GmbH & Co. KG"||Beginn ab 01.08.2026|[]|[]||12857-10218028-S|https://www.azubi.de/ausbildungsplatz/10218028-p-?utm_campaign=BAG&utm_medium=premiumcpc&utm_source=BAG|
Kaufmann/-frau - Einzelhandel||"Arbeitgeber:
Lidl Dienstleistung GmbH & Co. KG"||Beginn ab 01.09.2026|[]|[]||12857-10218027-S|https://www.azubi.de/ausbildungsplatz/10218027-p-?utm_campaign=BAG&utm_medium=premiumcpc&utm_source=BAG|
Kaufmann/-frau - Einzelhandel||"Arbeitgeber:
Lidl Dienstleistung GmbH & Co. KG"||Beginn ab 01.08.2026|[]|[]||12857-10218026-S|https://www.azubi.de/ausbildungsplatz/10218026-p-?utm_campaign=BAG&utm_medium=premiumcpc&utm_source=BAG|
Verkäufer/in||"Arbeitgeber:
Lidl Dienstleistung GmbH & Co. KG"||Beginn ab 01.08.2026|[]|[]||12857-10218025-S|https://www.azubi.de/ausbildungsplatz/10218025-p-?utm_campaign=BAG&utm_medium=premiumcpc&utm_source=BAG|
Verkäufer/in||"Arbeitgeber:
Lidl Dienstleistung GmbH & Co. KG"||Beginn ab 01.09.2026|[]|[]||12857-10218024-S|https://www.azubi.de/ausbildungsplatz/10218024-p-?utm_campaign=BAG&utm_medium=premiumcpc&utm_source=BAG|
Kaufmann/-frau - Einzelhandel||"Arbeitgeber:
Lidl Dienstleistung GmbH & Co. KG"||Beginn ab 01.08.2026|[]|[]||12857-10218023-S|https://www.azubi.de/ausbildungsplatz/10218023-p-?utm_campaign=BAG&utm_medium=premiumcpc&utm_source=BAG|
Verkäufer/in||"Arbeitgeber:
Lidl Dienstleistung GmbH & Co. KG"||Beginn ab 01.08.2026|[]|[]||12857-10218022-S|https://www.azubi.de/ausbildungsplatz/10218022-p-?utm_campaign=BAG&utm_medium=premiumcpc&utm_source=BAG|
Verkäufer/in||"Arbeitgeber:
Lidl Dienstleistung GmbH & Co. KG"||Beginn ab 01.08.2026|[]|[]||12857-10218021-S|https://www.azubi.de/ausbildungsplatz/10218021-p-?utm_campaign=BAG&utm_medium=premiumcpc&utm_source=BAG|
Kaufmann/-frau - Einzelhandel||"Arbeitgeber:
Lidl Dienstleistung GmbH & Co. KG"||Beginn ab 01.08.2026|[]|[]||12857-10218020-S|https://www.azubi.de/ausbildungsplatz/10218020-p-?utm_campaign=BAG&utm_medium=premiumcpc&utm_source=BAG|
Kaufmann/-frau - Einzelhandel||"Arbeitgeber:
Lidl Dienstleistung GmbH & Co. KG"||Beginn ab 01.08.2026|[]|[]||12857-10218019-S|https://www.azubi.de/ausbildungsplatz/10218019-p-?utm_campaign=BAG&utm_medium=premiumcpc&utm_source=BAG|
Verkäufer/in||"Arbeitgeber:
Lidl Dienstleistung GmbH & Co. KG"||Beginn ab 01.08.2026|[]|[]||12857-10218018-S|https://www.azubi.de/ausbildungsplatz/10218018-p-?utm_campaign=BAG&utm_medium=premiumcpc&utm_source=BAG|
Kaufmann/-frau - Einzelhandel||"Arbeitgeber:
Lidl Dienstleistung GmbH & Co. KG"||Beginn ab 01.08.2026|[]|[]||12857-10218017-S|https://www.azubi.de/ausbildungsplatz/10218017-p-?utm_campaign=BAG&utm_medium=premiumcpc&utm_source=BAG|
Kaufmann/-frau - Einzelhandel||"Arbeitgeber:
Lidl Dienstleistung GmbH & Co. KG"||Beginn ab 01.09.2026|[]|[]||12857-10218014-S|https://www.azubi.de/ausbildungsplatz/10218014-p-?utm_campaign=BAG&utm_medium=premiumcpc&utm_source=BAG|
Kaufmann/-frau - Einzelhandel||"Arbeitgeber:
Lidl Dienstleistung GmbH & Co. KG"||Beginn ab 01.09.2026|[]|[]||12857-10218013-S|https://www.azubi.de/ausbildungsplatz/10218013-p-?utm_campaign=BAG&utm_medium=premiumcpc&utm_source=BAG|
Kaufmann/-frau - Einzelhandel||"Arbeitgeber:
Lidl Dienstleistung GmbH & Co. KG"||Beginn ab 01.09.2026|[]|[]||12857-10218012-S|https://www.azubi.de/ausbildungsplatz/10218012-p-?utm_campaign=BAG&utm_medium=premiumcpc&utm_source=BAG|
Verkäufer/in||"Arbeitgeber:
Lidl Dienstleistung GmbH & Co. KG"||Beginn ab 01.09.2026|[]|[]||12857-10218011-S|https://www.azubi.de/ausbildungsplatz/10218011-p-?utm_campaign=BAG&utm_medium=premiumcpc&utm_source=BAG|
Verkäufer/in||"Arbeitgeber:
Lidl Dienstleistung GmbH & Co. KG"||Beginn ab 01.09.2026|[]|[]||12857-10218010-S|https://www.azubi.de/ausbildungsplatz/10218010-p-?utm_campaign=BAG&utm_medium=premiumcpc&utm_source=BAG|
Verkäufer/in||"Arbeitgeber:
Lidl Dienstleistung GmbH & Co. KG"||Beginn ab 01.09.2026|[]|[]||12857-10218009-S|https://www.azubi.de/ausbildungsplatz/10218009-p-?utm_campaign=BAG&utm_medium=premiumcpc&utm_source=BAG|
Verkäufer/in||"Arbeitgeber:
Lidl Dienstleistung GmbH & Co. KG"||Beginn ab 01.09.2026|[]|[]||12857-10218008-S|https://www.azubi.de/ausbildungsplatz/10218008-p-?utm_campaign=BAG&utm_medium=premiumcpc&utm_source=BAG|
Kaufmann/-frau - Einzelhandel||"Arbeitgeber:
Lidl Dienstleistung GmbH & Co. KG"||Beginn ab 01.08.2026|[]|[]||12857-10218007-S|https://www.azubi.de/ausbildungsplatz/10218007-p-?utm_campaign=BAG&utm_medium=premiumcpc&utm_source=BAG|
Kaufmann/-frau - Einzelhandel||"Arbeitgeber:
Lidl Dienstleistung GmbH & Co. KG"||Beginn ab 01.08.2026|[]|[]||12857-10218006-S|https://www.azubi.de/ausbildungsplatz/10218006-p-?utm_campaign=BAG&utm_medium=premiumcpc&utm_source=BAG|
Kaufmann/-frau - Einzelhandel||"Arbeitgeber:
Lidl Dienstleistung GmbH & Co. KG"||Beginn ab 01.08.2026|[]|[]||12857-10218005-S|https://www.azubi.de/ausbildungsplatz/10218005-p-?utm_campaign=BAG&utm_medium=premiumcpc&utm_source=BAG|
Kaufmann/-frau - Einzelhandel||"Arbeitgeber:
Lidl Dienstleistung GmbH & Co. KG"||Beginn ab 01.08.2026|[]|[]||12857-10218004-S|https://www.azubi.de/ausbildungsplatz/10218004-p-?utm_campaign=BAG&utm_medium=premiumcpc&utm_source=BAG|
Kaufmann/-frau - Einzelhandel||"Arbeitgeber:
Lidl Dienstleistung GmbH & Co. KG"||Beginn ab 01.08.2026|[]|[]||12857-10218003-S|https://www.azubi.de/ausbildungsplatz/10218003-p-?utm_campaign=BAG&utm_medium=premiumcpc&utm_source=BAG|
Verkäufer/in||"Arbeitgeber:
Lidl Dienstleistung GmbH & Co. KG"||Beginn ab 01.09.2026|[]|[]||12857-10218002-S|https://www.azubi.de/ausbildungsplatz/10218002-p-?utm_campaign=BAG&utm_medium=premiumcpc&utm_source=BAG|
Verkäufer/in||"Arbeitgeber:
Lidl Dienstleistung GmbH & Co. KG"||Beginn ab 01.09.2026|[]|[]||12857-10218001-S|https://www.azubi.de/ausbildungsplatz/10218001-p-?utm_campaign=BAG&utm_medium=premiumcpc&utm_source=BAG|
