Profession|Salary|Company Name|Location|Start Date|Telephone|Email|Job Description|Ref.-Nr.|External Link|Application Link
Kaufmann/-frau - Einzelhandel||"Arbeitgeber:
Netto Marken-Discount Stiftung & Co. KG"|Breisacher Str. 38a, 79331 Teningen|Beginn ab 01.09.2026|[]|[]|"Führe eine unserer Filialen zum Erfolg
Du möchtest mehr erreichen und Verantwortung übernehmen – auch ohne Studium? Dann ist unsere Fachausbildung zum Marktleiter (m/w/d) genau das Richtige für dich. In 2 bis 2,5 Jahren erwirbst du den IHK-Abschluss Kaufmann im Einzelhandel. Anschließend bereiten wir dich mit einer internen Weiterbildung auf deinen Job als Marktleiter (m/w/d) in einer unserer Filialen vor.Am Ende deiner Ausbildung kannst du einen Netto Markt eigenständig führen. Das Gehalt eines stellvertretenden Marktleiters erhältst du bereits während der internen Weiterbildung!
Das sind deine Aufgaben
Du berätst Kunden bei ihrem Einkauf
Du bestellst Waren, nimmst sie an und zeichnest sie aus
Du sorgst dafür, dass immer genug Waren im Markt sind
Du organisierst den Einsatz des Personals in deinem Markt
Du übernimmst Tages- und Urlaubsvertretungen
Das bringst du mit
Die Arbeit mit Lebensmitteln macht dir Spaß
Du hast gerne Kontakt zu Menschen
Du kannst dir gut vorstellen, ein Team zu leiten
Du möchtest gerne schon früh Verantwortung übernehmen
Du kannst gut organisieren
Unser Angebot für dich
Du übernimmst von Anfang an spannende und verantwortungsvolle Aufgaben
Du erhältst Einblicke in verschiedene Bereiche bei Netto
Du erhältst bei besonders guten Leistungen eine Übernahmegarantie
Während deiner internen Weiterbildung erhältst du bereits das Gehalt eines stellvertretenden Marktleiters
Information und Bewerbung
Ausbildungsdauer: 2,5 - 3 Jahre
Beginn: August/September
Bewerbungen ab: Einem Jahr vor Ausbildungsbeginn
Schulabschluss: gute mittlere Reife oder Fachhochschulreife, Allgemeine Hochschulreife"|18279-16-5638-A2026-S||https://www.netto-online.de/karriere/job/p16/fachausbildung-zum-marktleiter-m-w-d/teningen-nimburg/breisacher-str-38a/5638?utm_source=arbeitsagentur.de&utm_medium=referral&utm_campaign=Karriere-Ausbildung&utm_term=P16-L5638
Kaufmann/-frau - Einzelhandel||"Arbeitgeber:
Netto Marken-Discount Stiftung & Co. KG"|Im Kleinfeldele 4, 79359 Riegel, Kaiserstuhl|Beginn ab 01.09.2026|[]|[]|"Führe eine unserer Filialen zum Erfolg
Du möchtest mehr erreichen und Verantwortung übernehmen – auch ohne Studium? Dann ist unsere Fachausbildung zum Marktleiter (m/w/d) genau das Richtige für dich. In 2 bis 2,5 Jahren erwirbst du den IHK-Abschluss Kaufmann im Einzelhandel. Anschließend bereiten wir dich mit einer internen Weiterbildung auf deinen Job als Marktleiter (m/w/d) in einer unserer Filialen vor.Am Ende deiner Ausbildung kannst du einen Netto Markt eigenständig führen. Das Gehalt eines stellvertretenden Marktleiters erhältst du bereits während der internen Weiterbildung!
Das sind deine Aufgaben
Du berätst Kunden bei ihrem Einkauf
Du bestellst Waren, nimmst sie an und zeichnest sie aus
Du sorgst dafür, dass immer genug Waren im Markt sind
Du organisierst den Einsatz des Personals in deinem Markt
Du übernimmst Tages- und Urlaubsvertretungen
Das bringst du mit
Die Arbeit mit Lebensmitteln macht dir Spaß
Du hast gerne Kontakt zu Menschen
Du kannst dir gut vorstellen, ein Team zu leiten
Du möchtest gerne schon früh Verantwortung übernehmen
Du kannst gut organisieren
Unser Angebot für dich
Du übernimmst von Anfang an spannende und verantwortungsvolle Aufgaben
Du erhältst Einblicke in verschiedene Bereiche bei Netto
Du erhältst bei besonders guten Leistungen eine Übernahmegarantie
Während deiner internen Weiterbildung erhältst du bereits das Gehalt eines stellvertretenden Marktleiters
Information und Bewerbung
Ausbildungsdauer: 2,5 - 3 Jahre
Beginn: August/September
Bewerbungen ab: Einem Jahr vor Ausbildungsbeginn
Schulabschluss: gute mittlere Reife oder Fachhochschulreife, Allgemeine Hochschulreife"|18279-16-3058-A2026-S||https://www.netto-online.de/karriere/job/p16/fachausbildung-zum-marktleiter-m-w-d/riegel/im-kleinfeldele-4/3058?utm_source=arbeitsagentur.de&utm_medium=referral&utm_campaign=Karriere-Ausbildung&utm_term=P16-L3058
Kaufmann/-frau - Einzelhandel||"Arbeitgeber:
Netto Marken-Discount Stiftung & Co. KG"|Im Kleinfeldele 4, 79359 Riegel, Kaiserstuhl|Beginn ab 01.09.2026|[]|[]|"Der Kunde steht im Mittelpunkt
Freundliche Beratung und der tägliche Service für unsere Kunden sind für Kaufleute im Einzelhandel selbstverständlich. Als Auszubildender solltest du daher kontaktfreudig sein und dich auf eine abwechslungsreiche und vielseitige Tätigkeit freuen. Du absolvierst deine Ausbildung in einem motivierten Team aus tatkräftigen Mitarbeitern.Die Ausbildung endet mit einer Abschlussprüfung vor der IHK zum Kaufmann im Einzelhandel (m/w/d).Du machst bereits eine zweijährige Ausbildung zum Verkäufer (m/w/d) im Lebensmitteleinzelhandel in einem anderen Unternehmen? Dann kannst du dich bei uns auch gerne nur für das dritte Ausbildungsjahr zum Kaufmann im Einzelhandel (m/w/d) bewerben.
  Das bringst du mit
Die Arbeit mit Lebensmitteln macht dir Spaß
Du bist kontaktfreudig, gehst gerne auf fremde Menschen zu und kannst dich gut ausdrücken
Du legst Wert auf ein gepflegtes Äußeres und hast Sinn für Ordnung und Sauberkeit
Du bist teamfähig und kannst auch mal mit anpacken
Unser Angebot für dich
Du übernimmst von Anfang an spannende und verantwortungsvolle Aufgaben
Wir unterstützen dich mit Schulungen und praktischer Hilfe von erfahrenen Kollegen
Du erhältst Einblicke in verschiedene Bereiche wie Bestellabwicklung, Bestandsüberwachung oder Kundenberatung
Bei besonders guten Leistungen bieten wir dir eine Übernahmegarantie
Information und Bewerbung
Ausbildungsdauer: 3 Jahre
Beginn: August/September
Bewerbungen ab: Einem Jahr vor Ausbildungsbeginn
Schulabschluss: Hauptschulabschluss"|18279-15-3058-A2026-S||https://www.netto-online.de/karriere/job/p15/ausbildung-zum-kaufmann-im-einzelhandel-m-w-d/riegel/im-kleinfeldele-4/3058?utm_source=arbeitsagentur.de&utm_medium=referral&utm_campaign=Karriere-Ausbildung&utm_term=P15-L3058
Verkäufer/in||"Arbeitgeber:
Netto Marken-Discount Stiftung & Co. KG"|Im Kleinfeldele 4, 79359 Riegel, Kaiserstuhl|Beginn ab 01.09.2026|[]|[]|"Richtiges Verkaufen will gelernt sein
Deine Ausbildung zum Verkäufer (m/w/d) im Lebensmitteleinzelhandel ist eine abwechslungsreiche und vielseitige Tätigkeit, die Kontaktfreudigkeit erfordert. Denn die freundliche Beratung und der tägliche Service für unsere Kunden bilden die Grundlage für deine erfolgreiche Entwicklung.Du absolvierst deine Ausbildung in einem motivierten Team aus tatkräftigen Mitarbeitern. Bei guten theoretischen und praktischen Leistungen bieten wir dir die Möglichkeit, deine Ausbildung in einem dritten Ausbildungsjahr zum Kaufmann im Einzelhandel (m/w/d) zu erweitern.Die Ausbildung endet mit einer Abschlussprüfung vor der IHK zum Verkäufer (m/w/d).
Das sind deine Aufgaben
Kundenberatung und Verkauf sind dein Spezialgebiet
Du kassierst, nimmst Waren an und zeichnest sie aus
Du kümmerst dich um Warenpflege und -positionierung
Du kontrollierst unsere Produkte auf Qualität und Frische
Das bringst du mit
Der Umgang mit Lebensmitteln macht dir Spaß
Du bist kontaktfreudig, gehst gerne auf fremde Menschen zu und kannst dich gut ausdrücken
Du legst Wert auf ein gepflegtes Äußeres und hast Sinn für Ordnung und Sauberkeit
Du bist teamfähig und kannst auch mal mit anpacken
Unser Angebot für dich
Du übernimmst von Anfang an spannende und verantwortungsvolle Aufgaben
Wir unterstützen dich mit Schulungen und praktischer Hilfe von erfahrenen Kollegen
Bei besonders guten Leistungen bieten wir dir eine Übernahmegarantie
Information und Bewerbung
Ausbildungsdauer: 2 Jahre
Beginn: August/September
Bewerbungen ab: Einem Jahr vor Ausbildungsbeginn
Schulabschluss: Hauptschulabschluss"|18279-14-3058-A2026-S||https://www.netto-online.de/karriere/job/p14/ausbildung-zum-verkaeufer-m-w-d/riegel/im-kleinfeldele-4/3058?utm_source=arbeitsagentur.de&utm_medium=referral&utm_campaign=Karriere-Ausbildung&utm_term=P14-L3058
Elektroniker/in - Maschinen und Antriebstechnik (HwO)||"Arbeitgeber:
Buck GmbH"|Lotter Str. 15, 49545 Tecklenburg|Beginn ab 01.08.2026|['+49 5405 921213']|['info@buck-emb.de', 'info@buck-emb.de', 'info@ihrke-antriebstechnik.de', 'info@ihrke-antriebstechnik.de', 'info@sg-elektro.de']|"Ausbildung 2026 zum
ELEKTRONIKER für Maschinen- und Antriebstechnik (m/w/d)
in 49545 Tecklenburg. Die Buck GmbH ist ein traditionsreiches Unternehmen, welches den Schritt in die Zukunft modern mitgestaltet. Ein Fachbetrieb, der sich den Kundenbedürfnissen rund um das Thema Elektromotor widmet. Unsere Servicetechniker kümmern sich um Reparaturen, Wartung, Fertigung und Service von Elektromotoren und Pumpen/Pumpwerken sowie dem Verkauf derselbigen.
Was Du Dir von Deiner Ausbildung wünschst:
Elektrotechnische und handwerkliche Herausforderungen: Fehler suchen, Demontage, Schrauben, Reparieren, Wickeln, Spritzen, Messen, Prüfen und Entwickeln von Lösungen für elektronische Probleme.
Equipment: Eine gut ausgestattete Werkstatt, funktionelle Arbeitskleidung, Fahrkostenerstattung.
Teamarbeit: Eine umfassende Einarbeitung durch Deinen Ausbilder und die Teamkollegen.
Kommunikation: Durch Deinen engagierten Ausbilder bist Du gut betreut und hast immer jemanden, der ein offenes Ohr für Dich hat, durch unsere flachen Hierarchien bekommst Du immer mit, was anliegt.
Deine Arbeitswelt: Blockunterricht im Hans -Böckler-Berufskolleg in Münster, Teilnahme an überbetrieblichen Unterweisungen, geregelte Arbeitszeiten im Betrieb, 5 Tage Woche, angemessene Vergütung und Urlaub nach Tarif, freundliches und familiäres Betriebsklima.
Was wir uns wünschen:
Kenntnisse: Du hast einen guten mittleren Schulabschluss absolviert, idealerweise hast Du schon erste praktische Erfahrung in einem technischen Umfeld z.B. durch ein Schulpraktikum gesammelt, das ist aber kein Muss. Handwerkliches Geschick.
Persönlichkeit: Du begeisterst Dich für elektrische Motoren und hast Spaß daran, diese genauer unter die Lupe zu nehmen, Du hast keine Scheu Dir die Hände in der Werkstatt dreckig zumachen, durch Deine freundliche, kollegiale Art kannst Du Dich schnell in einem Team einfinden.
Mobilität: PKW-Führerschein Klasse B von Vorteil aufgrund der Berufsschule aber kein Muss. Auch öffentlich erreichbar.
Wie wir Dich für uns begeistern:
Abwechslung: Unsere Kunden und Ihre Probleme sind vielfältig, jeder Tag bringt neue Herausforderungen, die Du aber mithilfe Deines kollegialen Teams und Deines stets wachsendem Fachwissen lösen kannst.
Verantwortung: Bei uns bist Du eingebunden in das Werkstattteam als gleichwertiger Mitarbeiter und darfst nach einer umfassenden Einarbeitung eigenständig arbeiten.
Sicherheit: Du bist uns wichtig! Von daher achten wir auf die Umsetzung der Unfallverhütungsvorschriften und einen sicheren und gesunden Arbeitsplatz.
Zukunftschancen:  Wir wollen Dich auch nach Deinem Start in das Berufsleben langfristig auf Deinem Berufsweg begleiten. Dank unseres Wachstuns und unserer Zugehörigkeit zu unserer Unternehmensgruppe bieten sich vielfältige Übernahme- sowie Weiterbildungsmöglichkeiten.
Gerne kannst Du nach vorheriger Vereinbarung vorbeikommen zum Schnuppern oder ein Praktikum absolvieren.
Wir freuen uns auf die Zusendung Deiner Bewerbungsunterlagen per Mail!
Deine Ansprechpartnerin bei uns ist Frau Silvia Hammer.
Email: personal@buck-emb.de
Telefon: 05405/ 921213
Mehr Infos findest du auch:  www.buck-emb.de"|10000-1203528219-S|http://www.buck-emb.de/|
Kaufmann/-frau - Einzelhandel||"Arbeitgeber:
Netto Marken-Discount Stiftung & Co. KG"|Bahnhofstr. 32, 64747 Breuberg|Beginn ab 01.09.2026|[]|[]|"Der Kunde steht im Mittelpunkt
Freundliche Beratung und der tägliche Service für unsere Kunden sind für Kaufleute im Einzelhandel selbstverständlich. Als Auszubildender solltest du daher kontaktfreudig sein und dich auf eine abwechslungsreiche und vielseitige Tätigkeit freuen. Du absolvierst deine Ausbildung in einem motivierten Team aus tatkräftigen Mitarbeitern. Die Ausbildung endet mit einer Abschlussprüfung vor der IHK zum Kaufmann im Einzelhandel (m/w/d).Du machst bereits eine zweijährige Ausbildung zum Verkäufer (m/w/d) im Lebensmitteleinzelhandel in einem anderen Unternehmen? Dann kannst du dich bei uns auch gerne nur für das dritte Ausbildungsjahr zum Kaufmann im Einzelhandel (m/w/d) bewerben.
Das bringst du mit
Die Arbeit mit Lebensmitteln macht dir Spaß
Du bist kontaktfreudig, gehst gerne auf fremde Menschen zu und kannst dich gut ausdrücken
Du legst Wert auf ein gepflegtes Äußeres und hast Sinn für Ordnung und Sauberkeit
Du bist teamfähig und kannst auch mal mit anpacken
Unser Angebot für dich
Du übernimmst von Anfang an spannende und verantwortungsvolle Aufgaben
Wir unterstützen dich mit Schulungen und praktischer Hilfe von erfahrenen Kollegen
Du erhältst Einblicke in verschiedene Bereiche wie Bestellabwicklung, Bestandsüberwachung oder Kundenberatung
Bei besonders guten Leistungen bieten wir dir eine Übernahmegarantie
Information und Bewerbung
Ausbildungsdauer: 3 Jahre
Beginn: August/September
Bewerbungen ab: Einem Jahr vor Ausbildungsbeginn
Schulabschluss: Hauptschulabschluss"|18279-15-3925-A2026-S||https://www.netto-online.de/karriere/job/p15/ausbildung-zum-kaufmann-im-einzelhandel-m-w-d/breuberg/bahnhofstr-32/3925?utm_source=arbeitsagentur.de&utm_medium=referral&utm_campaign=Karriere-Ausbildung&utm_term=P15-L3925
Kaufmann/-frau - Einzelhandel||"Arbeitgeber:
Netto Marken-Discount Stiftung & Co. KG"|Braunschw. Heerstr. 59, 29221 Celle|Beginn ab 01.08.2026|[]|[]|"Führe eine unserer Filialen zum Erfolg
Du möchtest mehr erreichen und Verantwortung übernehmen – auch ohne Studium? Dann ist unsere Fachausbildung zum Marktleiter (m/w/d) genau das Richtige für dich. In 2 bis 2,5 Jahren erwirbst du den IHK-Abschluss Kaufmann im Einzelhandel. Anschließend bereiten wir dich mit einer internen Weiterbildung auf deinen Job als Marktleiter (m/w/d) in einer unserer Filialen vor.Am Ende deiner Ausbildung kannst du einen Netto Markt eigenständig führen. Das Gehalt eines stellvertretenden Marktleiters erhältst du bereits während der internen Weiterbildung!
Das sind deine Aufgaben
Du berätst Kunden bei ihrem Einkauf
Du bestellst Waren, nimmst sie an und zeichnest sie aus
Du sorgst dafür, dass immer genug Waren im Markt sind
Du organisierst den Einsatz des Personals in deinem Markt
Du übernimmst Tages- und Urlaubsvertretungen
Das bringst du mit
Die Arbeit mit Lebensmitteln macht dir Spaß
Du hast gerne Kontakt zu Menschen
Du kannst dir gut vorstellen, ein Team zu leiten
Du möchtest gerne schon früh Verantwortung übernehmen
Du kannst gut organisieren
Unser Angebot für dich
Du übernimmst von Anfang an spannende und verantwortungsvolle Aufgaben
Du erhältst Einblicke in verschiedene Bereiche bei Netto
Du erhältst bei besonders guten Leistungen eine Übernahmegarantie
Während deiner internen Weiterbildung erhältst du bereits das Gehalt eines stellvertretenden Marktleiters
Information und Bewerbung
Ausbildungsdauer: 2,5 - 3 Jahre
Beginn: August/September
Bewerbungen ab: Einem Jahr vor Ausbildungsbeginn
Schulabschluss: gute mittlere Reife oder Fachhochschulreife, Allgemeine Hochschulreife"|18279-16-2326-A2026-S||https://www.netto-online.de/karriere/job/p16/fachausbildung-zum-marktleiter-m-w-d/celle/braunschw-heerstr-59/2326?utm_source=arbeitsagentur.de&utm_medium=referral&utm_campaign=Karriere-Ausbildung&utm_term=P16-L2326
Pflegefachmann/-frau (Ausbildung)||"Arbeitgeber:
Int. Bildungs-u.Sozialwerk GmbH ""Haus am Kurpark"""|Neuer Weg 15, 34508 Willingen (Upland)|Beginn ab 01.10.2026|['+49 5632 9693040']|[]|"Für unser Senioren- und Pflegezentrum suchen wir zum Ausbildungsbeginn in 2026 Auszubildende als Pflegefachmann/frau (m/w/d).
**Vorausgesetzt wird in der Regel ein mittlerer Bildungsabschluss oder eine gleichwertige Vorbildung.
**Auch Schüler/innen, die eine andere zehnjährige allgemeine Schulausbildung abgeschlossen haben, können zugelassen werden (qualifizierter Hauptschulabschuss).
**Schüler/innen mit Hauptschulabschluss können aufgenommen werden, sofern sie zusätzlich über eine abgeschlossene Berufsausbildung von mindestens zweijähriger Dauer verfügen oder die Erlaubnis als Altenpflegehelfer/in bzw. als Gesundheits- und Krankenpflegehelfer/in vorlegen oder eine erfolgreich abgeschlossene landesrechtlich geregelte Ausbildung von mindestens einjähriger Dauer in der Gesundheits- und Krankenpflegehilfe oder Altenpflegehilfe absolviert haben.
>>Darüber hinaus sind Sie kontaktfreudig, kommunikationsstark und in der Lage selbstständig zu arbeiten.
>>Vor Ausbildung ist ein Praktikum im Haus vorgesehen.
--Fachschulstandort (Altenpflegeschule) ist Bad Arolsen >bzw. Krankenpflegeschule Korbach, Brilon oder Olsberg< individuell - theoretischer Unterricht in Blockform
DIE TÄTIGKEIT / AUSBILDUNG IM ÜBERBLICK:
Pflegefachleute betreuen und versorgen Menschen in allen Versorgungsbereichen der Pflege (Kranken-, Kinderkranken- und Altenpflege). Außerdem führen sie ärztliche Anordnungen durch, assistieren bei ärztlichen Maßnahmen, dokumentieren Patientendaten und wirken bei der Qualitätssicherung mit.
Pflegefachmann/-frau ist eine bundesweit einheitlich geregelte schulische Ausbildung an Berufsfachschulen (Pflegeschulen).
Sie dauert 3 Jahre und führt zu einer staatlichen Abschlussprüfung.
Ist im Ausbildungsvertrag ein entsprechender Vertiefungseinsatz vereinbart, können die Auszubildenden für das letzte Drittel der Ausbildung entscheiden, ob sie die begonnene Ausbildung als Pflegefachmann/-frau fortsetzen oder ob sie die Ausbildung neu ausrichten auf einen Abschluss als Gesundheits- und Kinderkrankenpfleger/in oder Altenpfleger/in.
Daneben besteht die Möglichkeit, eine Pflegeausbildung im Rahmen eines Hochschulstudiums zu absolvieren.
Sind Sie interessiert? Dann freuen wir uns auf Ihre schriftliche Bewerbung, die Sie bitte an Frau Vollmer richten."|10000-1203528520-S|http://www.int-bsw.de/|
Anästhesietechnische/r Assistent/in||"Arbeitgeber:
Universitätsklinikum Münster"|Albert-Schweitzer-Campus 1, 48149 Münster, Westfalen|Beginn ab 01.10.2026|['+49 251 8355255']|['bipg@ukmuenster.de', 'bipg@ukmuenster.de', 'praktikum@ukmuenster.de', 'alina.burgheim@ukmuenster.de', 'heike.kraemer@ukmuenster.de', 'rene.neumueller@ukmuenster.de', 'michaela.woike@ukmuenster.de', 'sara-elena.ueffing@ukmuenster.de', 'jasmin.pelizaeus@ukmuenster.de', 'sabrina.murch@ukmuenster.de', 'taalke.wuebben@ukmuenster.de', 'dominik.zergiebel@ukmuenster.de', 'carolin.wengler@ukmuenster.de', 'sebastian.bittner@ukmuenster.de']|"Anästhesietechnische Assistenz - Deine Ausbildung in der Anästhesie
Bildungsinstitut für Pflege und Gesundheit: Schule für Anästhesietechnische Assistenten
Anästhesietechnische Assistentinnen (ATA) sind wichtiger Teil des OP-Teams: Sie wirken bei der Vorbereitung, Begleitung und Nachsorge einer Narkose mit. Sie betreuen Patientinnen fachgerecht in verschiedenen Bereichen der Anästhesie, zum Beispiel bei Endoskopien. Damit leisten sie einen verantwortungsvollen Beitrag zur Durchführung der Operation und zur Sicherheit von Patient*innen.
Patientinnen sollen während der OP keine Schmerzen spüren: Daher ist die richtige Anästhesie während einer Operation unverzichtbar. Unsere ATAs arbeiten eng mit unseren Fachärztinnen zusammen und assistieren ihnen bei der Durchführung der Narkose. Während des Eingriffs überwachen Anästhesietechnische Assistentinnen die Vitalwerte der Patientinnen, damit bei Komplikationen schnell reagiert werden kann. Zudem sind ATA dafür zuständig, den Verlauf der Narkose-Verabreichung zu dokumentieren.
Technische und medizinische Erkenntnisse – fachliche, personelle, soziale und methodische Kompetenz: All das vermittelt die Ausbildung zur Anästhesietechnischen Assistenz am UKM auf höchstem Niveau. Wir befähigen unsere Auszubildenden zur eigenverantwortlichen Mitarbeit im anästhesiologischen Bereich, aber auch in anderen diagnostischen und therapeutischen Funktionsbereichen.
Bitte sende deine Bewerbungsunterlagen für den Ausbildungsstart im Oktober 2026 im Zeitraum vom 01.09.2025 bis zum 28.02.2026 über unser Karriereportal.
Dauer: 3 Jahre
Umfang: 2.100 Std. Theorie & 2.500 Std. Praxis
Ausbildungsvergütung:
Lehrjahr 1380,70 €,
Lehrjahr: 1446,70 €,
Lehrjahr 1553,00 €
(* ab 01.02.2025 TVLA)
Nächster Start: Oktober 2026
Theoretische Ausbildung
Die Ausbildungsziele sind nach Kompetenzschwerpunkten aufgebaut. Die Unterrichtsplanung erfolgt auf Grundlagen der Rahmenlehrplanung NRW und des internen Curriculums. Der theoretische Unterricht findet im Blockunterricht statt.
Praktische Ausbildung
Der praktische Teil der Ausbildung erfolgt in unterschiedlichen Anästhesieabteilungen des UKM. Dafür stehen über 40 Anästhesie-Arbeitsplätze zur Verfügung. Ein weiterer Teil der praktischen Ausbildung umfasst folgende Bereiche: Einsatz in der Notaufnahme, Ambulantes Operieren, Endoskopie, auf der Intensivstation und in der Zentralen Sterilgutversorgung.
Welche Zugangsvoraussetzungen muss ich erfüllen?
Gesundheitliche Eignung
Realschulabschluss oder eine andere gleichwertige, abgeschlossene Schulbildung
Hauptschulabschluss oder eine andere gleichwertige abgeschlossene Schulbildung zusammen mit einer Berufsausbildung
Deutsch-Sprachniveau B2
Als Voraussetzung zur Teilnahme an einer Ausbildung müssen im Ausland erworbene Schulabschlüsse vor Beginn der Ausbildung behördlich anerkannt sein und zur Bewerbung vorliegen. Abhängig von den Schulabschlüssen sind die Bezirksregierungen Köln bzw. Düsseldorf zuständig:
Informationen der Bezirksregierung Köln
Informationen der Bezirksregierung Düsseldorf
Wie kann ich mich bewerben?
Der nächste Kurs beginnt am 1. Oktober 2026.
Bitte reiche deine Bewerbungsunterlagen für 2026 im Zeitraum vom 01.09.2025 bis 28.02.2026 bei uns ein.
Bewerbung über das UKM-Karriereportal
Bewerbungsunterlagen
Anschreiben, tabellarischer Lebenslauf, Zeugnisse & Bescheinigungen, ggf. weitere Nachweise (z.B. von Praktika, Freiwilliges Soziales Jahr (FSJ) oder Bundesfreiwilligendienst (BFD), Bescheinigung über die gesundheitliche Eignung zum Ausbildungsberuf ATA
Flyer
Weitere Informationen zur ATA-Ausbildung am UKM findest du in unserem Flyer.
Kontakt/Erreichbarkeit
Schule für Anästhesietechnische Assistenten
Sekretariat
Schmeddingstr. 56
48149 Münster
+49 251 83-55255
bipg(at)ukmuenster.de
Praktikum
Für ein Praktikum in der Anästhesie am UKM kontaktiere bitte praktikum@­ukmuenster.­de."|10000-1203528442-S|https://www.ukm.de/karriere|https://www.ukm.de/pflege/karriere/anaesthesietechnische-assistenz
Kaufmann/-frau - Einzelhandel||"Arbeitgeber:
Netto Marken-Discount Stiftung & Co. KG"|Lüneburger Str. 42-46, 29614 Soltau|Beginn ab 01.08.2026|[]|[]|"Führe eine unserer Filialen zum Erfolg
Du möchtest mehr erreichen und Verantwortung übernehmen – auch ohne Studium? Dann ist unsere Fachausbildung zum Marktleiter (m/w/d) genau das Richtige für dich. In 2 bis 2,5 Jahren erwirbst du den IHK-Abschluss Kaufmann im Einzelhandel. Anschließend bereiten wir dich mit einer internen Weiterbildung auf deinen Job als Marktleiter (m/w/d) in einer unserer Filialen vor.Am Ende deiner Ausbildung kannst du einen Netto Markt eigenständig führen. Das Gehalt eines stellvertretenden Marktleiters erhältst du bereits während der internen Weiterbildung!
Das sind deine Aufgaben
Du berätst Kunden bei ihrem Einkauf
Du bestellst Waren, nimmst sie an und zeichnest sie aus
Du sorgst dafür, dass immer genug Waren im Markt sind
Du organisierst den Einsatz des Personals in deinem Markt
Du übernimmst Tages- und Urlaubsvertretungen
Das bringst du mit
Die Arbeit mit Lebensmitteln macht dir Spaß
Du hast gerne Kontakt zu Menschen
Du kannst dir gut vorstellen, ein Team zu leiten
Du möchtest gerne schon früh Verantwortung übernehmen
Du kannst gut organisieren
Unser Angebot für dich
Du übernimmst von Anfang an spannende und verantwortungsvolle Aufgaben
Du erhältst Einblicke in verschiedene Bereiche bei Netto
Du erhältst bei besonders guten Leistungen eine Übernahmegarantie
Während deiner internen Weiterbildung erhältst du bereits das Gehalt eines stellvertretenden Marktleiters
Information und Bewerbung
Ausbildungsdauer: 2,5 - 3 Jahre
Beginn: August/September
Bewerbungen ab: Einem Jahr vor Ausbildungsbeginn
Schulabschluss: gute mittlere Reife oder Fachhochschulreife, Allgemeine Hochschulreife"|18279-16-2332-A2026-S||https://www.netto-online.de/karriere/job/p16/fachausbildung-zum-marktleiter-m-w-d/soltau/lueneburger-str-42-46/2332?utm_source=arbeitsagentur.de&utm_medium=referral&utm_campaign=Karriere-Ausbildung&utm_term=P16-L2332
Zimmerer/Zimmerin|1.080 € – 1.550 €/Monat|"Arbeitgeber:
Koreis Hochbau GmbH"|Gewerbestr. 16, 86875 Waal, Schwaben|Beginn ab 01.09.2026|['+49 8246 685']|['firma@koreis-hochbau.de']|"Suchst Du einen sicheren Arbeitsplatz, der abwechslungsreich und flexibel ist?
Möchtest Du miterleben, wie aus Ideen auf Papier etwas Reales entsteht?
Arbeitest Du gerne im Team?
Bist Du daran interessiert Dich weiterzubilden und neue Herausforderungen kennenzulernen?
DANN NUTZE DEINE CHANCE!
Der Beruf des Zimmerers hat sich in den letzten Jahren grundlegend verändert. Durch den Einsatz modernster Technik werden viele Arbeiten erleichtert. Für jeden Arbeitsschritt gibt es dazugehörige Hilfsmittel und entsprechende Technik.
DEIN EINSATZ!
Der Beruf des Zimmerers stellt natürlich auch gewisse Anforderungen an Dich.
Du solltest mit Leidenschaft und Interesse bei der Sache sein.
Mit Mathematik solltest du nicht gerade auf Kriegsfuß stehen.
Technisches Interesse setzten wir voraus, das ist uns sehr wichtig.
Es versteht sich natürlich auch, dass körperliche Fitness dazu gehört.
WIR BIETEN DIR:
• Ein gutes Betriebsklima
• Eine leistungsgerechte Vergütung
• Betriebliche Altersvorsorge
• Kostenlose Arbeitskleidung und Werkzeug
• Kostenlose Getränke am Lager
• Fort- und Weiterbildungen
• Übernahme nach der Ausbildung
Haben wir dein Interesse geweckt, dann melde Dich bei uns. Das kannst Du per Email, Post und telefonisch machen.
PRAKTIKUM? - Du möchtest mal schauen, wie das bei uns so läuft? Kein Problem! Du kannst jederzeit ein Praktikum bei uns machen.
Melde Dich einfach.
Koreis Hochbau GmbHGewerbestraße 16, 86875 Waal
Tel. 08246/685, Email firma@koreis-hochbau.de"|10000-1203528534-S|https://www.koreis-hochbau.de/|
